,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
108,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
109,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
110,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
111,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
112,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
113,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
114,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
115,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
116,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
117,65+,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
118,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
119,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
120,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-04
121,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
122,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
123,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
124,30–44,m,TERRENO BALDIO,OTROS,DELINCUENCIA COMUN,2025-01-05
125,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
126,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
127,18–29,m,CANCHAS DE USO MÚLTIPLE,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-05
128,18–29,m,CASA/VILLA,ARMA DE FUEGO,VIOLENCIA COMUNITARIA,2025-01-05
129,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
130,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
131,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
132,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
133,18–29,m,LAGUNA - LAGO,ARMA CONTUNDENTE,DELINCUENCIA COMUN,2025-01-06
134,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
135,18–29,m,INTERIOR DE TAXI,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
136,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
137,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
138,30–44,na,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
139,30–44,m,BARES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
140,30–44,m,BARES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
141,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
142,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
143,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
144,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
145,30–44,m,GASOLINERAS,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-07
146,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-07
147,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-07
148,18–29,m,HOSPITALES,OTROS,DELINCUENCIA COMUN,2025-01-03
149,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-06
150,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-07
151,30–44,m,CENTROS COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-07
